x-axis,1,EXT
second,Volt,
+116.000E-09,+0.0E+00,1
+119.000E-09,+0.0E+00,1
+122.000E-09,+0.0E+00,1
+125.000E-09,+0.0E+00,1
+128.000E-09,+0.0E+00,1
+131.000E-09,+0.0E+00,1
+134.000E-09,-233.165830374E-03,1
+137.000E-09,-233.165830374E-03,1
+140.000E-09,-233.165830374E-03,1
+143.000E-09,-233.165830374E-03,1
+146.000E-09,-233.165830374E-03,1
+149.000E-09,-233.165830374E-03,1
+152.000E-09,+0.0E+00,1
+155.000E-09,+0.0E+00,1
+158.000E-09,+0.0E+00,1
+161.000E-09,+0.0E+00,1
+164.000E-09,-233.165830374E-03,1
+167.000E-09,+0.0E+00,1
+170.000E-09,-233.165830374E-03,1
+173.000E-09,-233.165830374E-03,1
+176.000E-09,-233.165830374E-03,1
+179.000E-09,-87.437186390E-03,1
+182.000E-09,+0.0E+00,1
+185.000E-09,+0.0E+00,1
+188.000E-09,+0.0E+00,1
+191.000E-09,+0.0E+00,1
+194.000E-09,-145.728643984E-03,1
+197.000E-09,-233.165830374E-03,1
+200.000E-09,-233.165830374E-03,1
+203.000E-09,-87.437186390E-03,1
+206.000E-09,+0.0E+00,1
+209.000E-09,+0.0E+00,1
+212.000E-09,-145.728643984E-03,1
+215.000E-09,-233.165830374E-03,1
+218.000E-09,-233.165830374E-03,1
+221.000E-09,-87.437186390E-03,1
+224.000E-09,+0.0E+00,1
+227.000E-09,-233.165830374E-03,1
+230.000E-09,-233.165830374E-03,1
+233.000E-09,-233.165830374E-03,1
+236.000E-09,-233.165830374E-03,1
+239.000E-09,-233.165830374E-03,1
+242.000E-09,-87.437186390E-03,1
+245.000E-09,+0.0E+00,1
+248.000E-09,+0.0E+00,1
+251.000E-09,+0.0E+00,1
+254.000E-09,-233.165830374E-03,1
+257.000E-09,-378.894474358E-03,1
+260.000E-09,-466.331660748E-03,1
+263.000E-09,-233.165830374E-03,1
+266.000E-09,+0.0E+00,1
+269.000E-09,+0.0E+00,1
+272.000E-09,+0.0E+00,1
+275.000E-09,+0.0E+00,1
+278.000E-09,+0.0E+00,1
+281.000E-09,-145.728643984E-03,1
+284.000E-09,-233.165830374E-03,1
+287.000E-09,-233.165830374E-03,1
+290.000E-09,-233.165830374E-03,1
+293.000E-09,-233.165830374E-03,1
+296.000E-09,-233.165830374E-03,1
+299.000E-09,-233.165830374E-03,1
+302.000E-09,-233.165830374E-03,1
+305.000E-09,-233.165830374E-03,1
+308.000E-09,-87.437186390E-03,1
+311.000E-09,+0.0E+00,1
+314.000E-09,+0.0E+00,1
+317.000E-09,+0.0E+00,1
+320.000E-09,+0.0E+00,1
+323.000E-09,+0.0E+00,1
+326.000E-09,-145.728643984E-03,1
